expocode: 316420170617
vessel name: WA_125W_47N
"PIs: Sutton, A."
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF
WA_125W_47N,47.351,-124.698,6/17/2017,12:17,259.7,2,2.91,405,2,2.7,1021.4,14.5,102.43,-999,-999,260.4,406.1,-999,-999,-999,-999,-999,-999,-999,5
WA_125W_47N,47.351,-124.698,6/17/2017,15:17,254.3,2,3.16,407.5,2,2.9,1022.1,14.7,102.41,-999,-999,255.1,408.6,-999,-999,-999,-999,-999,-999,-999,5
WA_125W_47N,47.351,-124.698,6/17/2017,18:17,253.4,2,3.54,403.8,2,3.21,1021.7,16.4,102.56,-999,-999,254.3,405.1,-999,-999,-999,-999,-999,-999,-999,5
WA_125W_47N,47.351,-124.698,6/17/2017,21:17,253.6,2,3.27,404.9,2,3.04,1021.7,16.8,102.46,-999,-999,254.4,406.2,-999,-999,-999,-999,-999,-999,-999,5
WA_125W_47N,47.351,-124.698,6/18/2017,0:17,251.6,2,3.06,404.1,2,2.87,1021.3,15.6,102.57,-999,-999,252.4,405.3,-999,-999,-999,-999,-999,-999,-999,5
WA_125W_47N,47.351,-124.698,6/18/2017,3:17,249.3,2,3.04,404.5,2,2.85,1020,14.8,102.75,-999,-999,250,405.6,-999,-999,-999,-999,-999,-999,-999,5
WA_125W_47N,47.351,-124.698,6/18/2017,6:17,251.5,2,3.11,403.1,2,2.94,1019.7,14.9,102.98,-999,-999,252.3,404.2,-999,-999,-999,-999,-999,-999,-999,5
WA_125W_47N,47.351,-124.698,6/18/2017,9:17,252.3,2,3.2,402.6,2,3.03,1019.3,14.9,103.02,-999,-999,253.1,403.9,-999,-999,-999,-999,-999,-999,-999,5
WA_125W_47N,47.351,-124.698,6/18/2017,12:17,249.3,2,3.24,402,2,3.09,1019.1,15.1,103.04,-999,-999,250.1,403.2,-999,-999,-999,-999,-999,-999,-999,5
WA_125W_47N,47.351,-124.698,6/18/2017,15:17,249.5,2,3.26,402.4,2,3.11,1020.1,15.3,103.03,-999,-999,250.4,403.6,-999,-999,-999,-999,-999,-999,-999,5
WA_125W_47N,47.351,-124.698,6/18/2017,18:17,247.3,2,3.34,402.2,2,3.2,1021,15.5,103.14,-999,-999,248.2,403.5,-999,-999,-999,-999,-999,-999,-999,5
WA_125W_47N,47.351,-124.698,6/18/2017,21:17,246.9,2,3.48,401.9,2,3.32,1021.7,15.9,103.26,-999,-999,247.7,403.2,-999,-999,-999,-999,-999,-999,-999,5
WA_125W_47N,47.351,-124.698,6/19/2017,0:17,249.6,2,3.64,402,2,3.48,1021,16.5,103.33,14.625,28.917,250.5,403.5,247.5,398.6,-151.1,248.4,400,-151.6,-999,5
WA_125W_47N,47.351,-124.698,6/19/2017,3:17,247.4,2,3.6,402.3,2,3.45,1020.1,16.8,103.46,14.784,28.979,248.3,403.7,245,398.4,-153.3,245.9,399.8,-153.9,-999,5
WA_125W_47N,47.351,-124.698,6/19/2017,6:17,251.5,2,3.42,402.2,2,3.27,1020.1,16.1,103.53,14.42,29.594,252.4,403.5,249.2,398.4,-149.2,250.1,399.8,-149.8,-999,5
WA_125W_47N,47.351,-124.698,6/19/2017,9:17,249.9,2,3.4,402.2,2,3.24,1018.5,15.7,103.59,14.391,29.363,250.8,403.5,247.2,397.7,-150.5,248.1,399.2,-151.1,-999,5
WA_125W_47N,47.351,-124.698,6/19/2017,12:17,263.9,2,3.29,402.6,2,3.16,1017.3,15.5,103.39,14.63,29.207,264.8,403.9,260.6,397.5,-137,261.5,399,-137.5,-999,5
WA_125W_47N,47.351,-124.698,6/19/2017,15:17,266.6,2,3.36,406.7,2,3.21,1017.2,15.4,103.35,14.639,29.294,267.5,408,263.3,401.6,-138.3,264.2,403,-138.8,-999,5
WA_125W_47N,47.351,-124.698,6/19/2017,18:17,266.5,2,3.5,403.4,2,3.34,1017.2,15.8,103.42,14.824,29.151,267.5,404.8,263.2,398.3,-135.1,264.1,399.7,-135.6,-999,5
WA_125W_47N,47.351,-124.698,6/19/2017,21:17,271.8,2,3.71,402.1,2,3.53,1017.4,16.7,103.45,14.814,29.621,272.8,403.5,268.5,397.1,-128.6,269.5,398.5,-129,-999,5
WA_125W_47N,47.351,-124.698,6/20/2017,0:17,268.1,2,3.73,402.1,2,3.56,1017.5,17.2,103.5,15.245,28.579,269.1,403.5,264.8,397,-132.2,265.7,398.4,-132.7,-999,5
WA_125W_47N,47.351,-124.698,6/20/2017,3:17,257.9,2,3.69,402.5,2,3.53,1017.1,16.8,103.32,15.628,26.589,258.9,403.9,254.5,397,-142.5,255.4,398.5,-143.1,-999,5
WA_125W_47N,47.351,-124.698,6/20/2017,6:17,240.4,2,3.52,402.5,2,3.37,1018.1,16.5,103.05,14.32,29.469,241.2,403.9,237.7,398,-160.3,238.5,399.4,-160.9,-999,5
WA_125W_47N,47.351,-124.698,6/20/2017,9:17,244.8,2,3.5,402.7,2,3.34,1018.5,16.1,102.78,15.685,21.08,245.6,404.1,241.8,397.7,-155.9,242.6,399.1,-156.5,-999,5
WA_125W_47N,47.351,-124.698,6/20/2017,12:17,237.8,2,3.51,402.5,2,3.35,1018.7,16.1,102.56,15.979,20.418,238.6,403.8,234.8,397.4,-162.6,235.7,398.9,-163.2,-999,5
WA_125W_47N,47.351,-124.698,6/20/2017,15:17,240,2,3.58,402,2,3.42,1020.3,16.1,102.33,15.968,20.45,240.9,403.4,237.4,397.6,-160.2,238.3,399.1,-160.8,-999,5
WA_125W_47N,47.351,-124.698,6/20/2017,18:17,233.3,2,3.51,401.2,2,3.34,1022.5,16.2,102.48,15.684,21.248,234.1,402.5,231.4,397.8,-166.4,232.2,399.2,-167,-999,5
WA_125W_47N,47.351,-124.698,6/20/2017,21:17,242,2,3.5,401.8,2,3.3,1024.6,16,102.54,15.146,22.532,242.9,403.1,240.6,399.4,-158.8,241.5,400.9,-159.4,-999,5
WA_125W_47N,47.351,-124.698,6/21/2017,0:17,235.9,2,3.51,402.1,2,3.27,1024.8,15.9,102.85,15.242,23.338,236.8,403.4,234.6,399.8,-165.2,235.5,401.3,-165.8,-999,5
WA_125W_47N,47.351,-124.698,6/21/2017,3:17,233.4,2,3.41,402.2,2,3.19,1025.2,15.8,103.05,15.318,23.089,234.2,403.5,232.2,400,-167.8,233,401.5,-168.4,-999,5
WA_125W_47N,47.351,-124.698,6/21/2017,6:17,241,2,3.23,402.4,2,3.03,1025.7,15.2,102.76,15.216,23.275,241.8,403.6,239.8,400.3,-160.5,240.7,401.8,-161.1,-999,5
WA_125W_47N,47.351,-124.698,6/21/2017,9:17,244.6,2,3.15,402.4,2,2.98,1026,15.1,102.46,15.064,23.497,245.4,403.7,243.5,400.5,-157,244.4,402,-157.6,-999,5
WA_125W_47N,47.351,-124.698,6/21/2017,12:17,242.3,2,3.1,402.4,2,2.91,1026.9,15,102.28,14.976,23.536,243.1,403.5,241.4,400.8,-159.4,242.3,402.3,-160,-999,5
WA_125W_47N,47.351,-124.698,6/21/2017,15:17,237.5,2,3.22,402.1,2,3.01,1027.5,14.9,102.22,14.951,23.54,238.3,403.3,236.8,400.8,-164,237.7,402.3,-164.6,-999,5
WA_125W_47N,47.351,-124.698,6/21/2017,18:17,235.5,2,3.22,401.9,2,3.02,1028.1,15.1,102.2,15.054,23.464,236.2,403.1,234.9,400.9,-165.9,235.8,402.3,-166.6,-999,5
WA_125W_47N,47.351,-124.698,6/21/2017,21:17,233.5,2,3.31,402.3,2,3.08,1028.1,15.3,102.24,15.166,23.677,234.3,403.5,233,401.2,-168.2,233.8,402.7,-168.8,-999,5
WA_125W_47N,47.351,-124.698,6/22/2017,0:17,275.7,2,3.44,402.3,2,3.18,1027.5,15.9,102.06,14.796,27.604,276.6,403.6,275,401.2,-126.2,276,402.7,-126.7,-999,5
WA_125W_47N,47.351,-124.698,6/22/2017,3:17,268,2,3.3,402.8,2,3.1,1026.6,15.6,102.13,14.749,28.093,268.9,404.1,267.1,401.3,-134.2,268.1,402.8,-134.7,-999,5
WA_125W_47N,47.351,-124.698,6/22/2017,6:17,258.3,2,3.2,402.5,2,3.03,1026.6,15.2,101.96,14.955,26.541,259.2,403.7,257.4,400.9,-143.5,258.3,402.3,-144,-999,5
WA_125W_47N,47.351,-124.698,6/22/2017,9:17,252.5,2,3.21,401.8,2,3.03,1026.7,15.1,101.79,14.845,26.094,253.3,403,251.6,400.3,-148.6,252.5,401.7,-149.2,-999,5
WA_125W_47N,47.351,-124.698,6/22/2017,12:17,252,2,3.16,401.5,2,2.99,1026.7,14.8,101.81,14.666,26.089,252.8,402.7,251.1,400,-148.9,252.1,401.5,-149.5,-999,5
WA_125W_47N,47.351,-124.698,6/22/2017,15:17,266.8,2,3.21,401,2,3.02,1027.2,14.5,102.16,14.136,28.592,267.7,402.2,266.2,399.9,-133.8,267.2,401.4,-134.3,-999,5
WA_125W_47N,47.351,-124.698,6/22/2017,18:17,269.7,2,3.49,401.5,2,3.28,1026.7,15.5,102.67,14.398,28.775,270.6,402.8,268.9,400.3,-131.4,269.9,401.7,-131.8,-999,5
WA_125W_47N,47.351,-124.698,6/22/2017,21:17,270.2,2,3.58,404.2,2,3.35,1026.2,16.3,102.62,15.353,27.109,271.2,405.5,269.1,402.4,-133.3,270.1,403.9,-133.8,-999,5
WA_125W_47N,47.351,-124.698,6/23/2017,0:17,268,2,3.63,405,2,3.4,1025.2,16.6,102.58,14.999,27.02,268.9,406.4,266.7,402.9,-136.3,267.7,404.4,-136.8,-999,5
WA_125W_47N,47.351,-124.698,6/23/2017,3:17,285.1,2,3.49,402.1,2,3.3,1024.4,16.1,102.43,14.731,28.88,286.1,403.4,283.6,399.8,-116.3,284.6,401.3,-116.7,-999,5
WA_125W_47N,47.351,-124.698,6/23/2017,6:17,285.6,2,3.35,401.3,2,3.19,1024.4,15.5,102.29,14.739,28.954,286.6,402.6,284,399,-115,285.1,400.5,-115.4,-999,5
WA_125W_47N,47.351,-124.698,6/23/2017,9:17,300.9,2,3.29,400.9,2,3.14,1023.6,15.2,102.38,14.175,29.873,301.9,402.1,299.2,398.5,-99.3,300.3,400,-99.7,-999,5
WA_125W_47N,47.351,-124.698,6/23/2017,12:17,297.1,2,3.24,400.5,2,3.09,1023.6,14.9,102.13,13.998,29.638,298.1,401.8,295.4,398.2,-102.8,296.5,399.7,-103.2,-999,5
WA_125W_47N,47.351,-124.698,6/23/2017,15:17,290.8,2,3.28,400.5,2,3.13,1024,14.8,102,14.206,29.415,291.7,401.8,289.2,398.3,-109.1,290.2,399.7,-109.5,-999,5
WA_125W_47N,47.351,-124.698,6/23/2017,18:17,302.1,2,3.5,402.1,2,3.36,1023.1,16,102.05,14.892,29.451,303.2,403.4,300.1,399.3,-99.2,301.2,400.8,-99.6,-999,5
WA_125W_47N,47.351,-124.698,6/23/2017,21:17,310.6,2,4.05,411.9,2,3.79,1022.9,18.9,102.12,15.309,29.291,311.9,413.4,308.4,408.9,-100.5,309.6,410.4,-100.8,-999,5
WA_125W_47N,47.351,-124.698,6/24/2017,0:17,301.6,2,4.41,408.9,2,4.1,1021.8,19.6,102.15,15.585,29.36,302.9,410.6,299.2,405.5,-106.3,300.3,407,-106.7,-999,5
WA_125W_47N,47.351,-124.698,6/24/2017,3:17,297.9,2,4.26,404.3,2,3.94,1020.2,17.6,102.68,14.979,30.643,299.2,405.9,295.2,400.5,-105.3,296.3,402,-105.7,-999,5
WA_125W_47N,47.351,-124.698,6/24/2017,6:17,294.3,2,3.83,402.4,2,3.57,1019.9,15.9,103.38,13.972,30.934,295.5,403.8,291.7,398.7,-107,292.8,400.2,-107.4,-999,5
WA_125W_47N,47.351,-124.698,6/24/2017,9:17,285.6,2,3.38,402.4,2,3.18,1019.9,15,104.15,13.736,31.039,286.6,403.7,283.1,398.7,-115.7,284.1,400.2,-116.1,-999,5
WA_125W_47N,47.351,-124.698,6/24/2017,12:17,350.4,2,3.15,-999,4,2.98,1019.7,14.4,103.71,13.075,30.863,351.6,-999,347.4,-999,-999,348.7,-999,-999,-999,5
WA_125W_47N,47.351,-124.698,6/24/2017,15:17,289.6,2,3.48,-999,4,3.33,1020.1,14.4,104.81,13.2,30.967,290.6,-999,287.2,-999,-999,288.3,-999,-999,-999,5
WA_125W_47N,47.351,-124.698,6/24/2017,18:17,268.8,2,4.35,-999,4,4.14,1019.6,17.7,106.72,13.514,31.153,270,-999,266.6,-999,-999,267.6,-999,-999,-999,5
WA_125W_47N,47.351,-124.698,6/24/2017,21:17,276.4,2,4.79,428.6,3,4.34,1018.2,22.4,107.78,13.973,31.318,277.7,430.5,273.8,424.4,-150.6,274.8,425.9,-151.2,-999,5
WA_125W_47N,47.351,-124.698,6/25/2017,0:17,294.2,2,5.19,416.9,2,4.77,1016.7,22.9,107.46,15.527,31.332,295.7,418.9,290.6,411.7,-121.1,291.7,413.2,-121.5,-999,5
WA_125W_47N,47.351,-124.698,6/25/2017,3:17,269.5,2,5.19,402.5,2,4.67,1015,19.9,107.76,14.713,31.342,270.9,404.3,266,397,-131.1,267,398.5,-131.5,-999,5
WA_125W_47N,47.351,-124.698,6/25/2017,6:17,228.5,2,4.31,406.3,2,3.96,1014.1,17,109.75,13.908,31.19,229.5,408,225.3,400.6,-175.2,226.1,402,-175.9,-999,5
WA_125W_47N,47.351,-124.698,6/25/2017,9:17,235.5,2,3.8,408.4,2,3.55,1013.8,15.7,110.73,14.256,31.409,236.4,409.8,232,402.1,-170.1,232.8,403.6,-170.8,-999,5
WA_125W_47N,47.351,-124.698,6/25/2017,12:17,260.3,2,3.44,405.8,2,3.25,1013.3,15.3,110.92,13.492,31.337,261.2,407.1,256.3,399.6,-143.3,257.3,401.1,-143.8,-999,5
WA_125W_47N,47.351,-124.698,6/25/2017,15:17,298.5,2,3.65,412.3,2,3.44,1013.5,15.1,110.4,13.184,31.254,299.6,413.8,294.2,406.3,-112.1,295.3,407.8,-112.5,-999,5
WA_125W_47N,47.351,-124.698,6/25/2017,18:17,259.3,2,3.83,405.3,2,3.6,1013.6,16.4,111.12,13.656,31.279,260.3,406.8,255.5,399.3,-143.8,256.4,400.7,-144.3,-999,5
WA_125W_47N,47.351,-124.698,6/25/2017,21:17,230.3,2,3.98,404.2,2,3.73,1013.5,17.1,112.55,14.316,31.396,231.3,405.7,226.8,398,-171.1,227.7,399.4,-171.7,-999,5
WA_125W_47N,47.351,-124.698,6/26/2017,0:17,206.8,2,3.95,400.7,2,3.7,1013.3,16.8,114.85,14.151,31.287,207.6,402.2,203.6,394.5,-190.9,204.4,396,-191.6,-999,5
WA_125W_47N,47.351,-124.698,6/26/2017,3:17,202,2,3.62,399.8,2,3.44,1013.7,16.1,115.46,14.214,31.294,202.7,401.2,198.9,393.6,-194.7,199.6,395.1,-195.5,-999,5
WA_125W_47N,47.351,-124.698,6/26/2017,6:17,231.1,2,3.39,400.6,2,3.23,1014.8,15.3,114.59,13.775,31.332,231.8,401.9,227.8,394.9,-167.1,228.7,396.4,-167.7,-999,5
WA_125W_47N,47.351,-124.698,6/26/2017,9:17,239.4,2,3.27,401.6,2,3.12,1015.7,14.8,113.69,13.536,31.324,240.2,402.8,236.2,396.3,-160,237.1,397.7,-160.6,-999,5
WA_125W_47N,47.351,-124.698,6/26/2017,12:17,252.3,2,3.14,401.5,2,2.99,1015.4,14.6,112.44,13.506,31.369,253.1,402.7,248.9,396.1,-147.1,249.9,397.5,-147.7,-999,5
WA_125W_47N,47.351,-124.698,6/26/2017,15:17,247.3,2,3.15,401.4,2,2.98,1016.2,14.3,111.74,13.366,31.325,248,402.6,244.2,396.3,-152.2,245.1,397.8,-152.7,-999,5
WA_125W_47N,47.351,-124.698,6/26/2017,18:17,240.4,2,3.24,401,2,3.06,1017.5,14.4,111.47,13.11,31.294,241.2,402.2,237.8,396.6,-158.8,238.7,398,-159.4,-999,5
WA_125W_47N,47.351,-124.698,6/26/2017,21:17,229.7,2,3.37,400.7,2,3.17,1017.5,14.8,111.57,13.568,31.235,230.5,402,227.1,396.2,-169.1,228,397.7,-169.7,-999,5
WA_125W_47N,47.351,-124.698,6/27/2017,0:17,228.5,2,3.35,400.7,2,3.15,1017,15.1,111.79,13.441,31.304,229.3,402,225.9,396,-170.1,226.7,397.4,-170.7,-999,5
WA_125W_47N,47.351,-124.698,6/27/2017,3:17,235.1,2,3.16,401.3,2,2.99,1017.2,14.8,111.67,13.038,31.357,235.8,402.6,232.5,396.8,-164.3,233.3,398.3,-164.9,-999,5
WA_125W_47N,47.351,-124.698,6/27/2017,6:17,222.8,2,3.17,400.6,2,2.99,1017.6,14.2,111.91,13.682,31.296,223.5,401.8,220.2,396,-175.8,221,397.5,-176.4,-999,5
WA_125W_47N,47.351,-124.698,6/27/2017,9:17,236.5,2,3.16,400.5,2,2.98,1017,14.2,111.53,13.535,31.215,237.3,401.7,233.7,395.6,-161.9,234.6,397.1,-162.5,-999,5
WA_125W_47N,47.351,-124.698,6/27/2017,12:17,243.7,2,3.15,401.5,2,2.97,1017,14.2,111.03,13.603,31.246,244.5,402.7,240.8,396.6,-155.8,241.7,398.1,-156.4,-999,5
WA_125W_47N,47.351,-124.698,6/27/2017,15:17,274,2,3.23,401.3,2,3.04,1017.6,14.3,110.29,12.973,31.479,274.9,402.5,271.1,396.9,-125.9,272.1,398.4,-126.3,-999,5
WA_125W_47N,47.351,-124.698,6/27/2017,18:17,277.1,2,3.48,400.7,2,3.26,1017.8,15.4,110.21,12.674,31.564,278,402,274.3,396.6,-122.3,275.3,398.1,-122.8,-999,5
WA_125W_47N,47.351,-124.698,6/27/2017,21:17,274.7,2,3.77,399.7,2,3.49,1017.5,16.2,110.46,12.802,31.53,275.8,401.1,272,395.6,-123.6,273,397.1,-124.1,-999,5
WA_125W_47N,47.351,-124.698,6/28/2017,0:17,213.7,2,3.98,400.7,2,3.69,1016.8,18.4,112.29,14.133,31.355,214.6,402.2,211.2,395.8,-184.6,212,397.3,-185.3,-999,5
WA_125W_47N,47.351,-124.698,6/28/2017,3:17,211.4,2,3.74,400.5,2,3.5,1016.3,17.4,113.43,14.031,31.333,212.2,401.9,208.8,395.4,-186.6,209.5,396.8,-187.3,-999,5
WA_125W_47N,47.351,-124.698,6/28/2017,6:17,232.4,2,3.51,400.3,2,3.29,1016.9,15.8,113.82,13.776,31.304,233.2,401.6,229.7,395.5,-165.8,230.5,397,-166.5,-999,5
WA_125W_47N,47.351,-124.698,6/28/2017,9:17,258.7,2,3.33,399.3,2,3.14,1016.5,14.9,112.76,14.141,31.349,259.6,400.6,255.4,394.1,-138.7,256.4,395.6,-139.2,-999,5
WA_125W_47N,47.351,-124.698,6/28/2017,12:17,284.9,2,3.26,399.9,2,3.07,1016.5,14.6,111.31,13.714,31.392,285.8,401.1,281.3,394.9,-113.5,282.4,396.3,-113.9,-999,5
WA_125W_47N,47.351,-124.698,6/28/2017,15:17,295.8,2,3.23,399.7,2,3.04,1017.3,14.3,110.73,13.074,31.461,296.7,401,292.5,395.2,-102.7,293.6,396.7,-103.1,-999,5
WA_125W_47N,47.351,-124.698,6/28/2017,18:17,227.7,2,3.42,399.5,2,3.2,1018.1,15,112.25,13.433,31.365,228.5,400.8,225.3,395.2,-169.9,226.1,396.7,-170.6,-999,5
WA_125W_47N,47.351,-124.698,6/28/2017,21:17,187.6,2,3.72,399.7,2,3.46,1018.5,16.1,114.83,14.18,31.214,188.3,401.1,185.7,395.4,-209.8,186.3,396.9,-210.5,-999,5
WA_125W_47N,47.351,-124.698,6/29/2017,0:17,192.9,2,3.54,399.1,2,3.32,1019,16,116.58,14.124,31.232,193.6,400.5,190.9,395,-204.1,191.6,396.5,-204.8,-999,5
WA_125W_47N,47.351,-124.698,6/29/2017,3:17,211,2,3.4,399.1,2,3.2,1019.4,15.3,117.35,13.793,31.263,211.7,400.3,209,395.2,-186.2,209.8,396.7,-186.9,-999,5
WA_125W_47N,47.351,-124.698,6/29/2017,6:17,199.3,2,3.3,399.1,2,3.1,1019.9,14.8,117.85,13.836,31.203,199.9,400.3,197.4,395.4,-197.9,198.2,396.8,-198.7,-999,5
WA_125W_47N,47.351,-124.698,6/29/2017,9:17,202,2,3.23,399.5,2,3.04,1019.9,14.6,117.7,13.999,31.159,202.7,400.7,200.1,395.6,-195.5,200.8,397.1,-196.3,-999,5
WA_125W_47N,47.351,-124.698,6/29/2017,12:17,211.4,2,3.17,399.4,2,2.98,1020.4,14.5,116.99,14.035,31.174,212.1,400.6,209.5,395.7,-186.2,210.3,397.2,-186.9,-999,5
WA_125W_47N,47.351,-124.698,6/29/2017,15:17,221.9,2,3.18,398.7,2,2.99,1021.7,14.4,115.7,14.188,31.211,222.6,399.9,220.1,395.5,-175.4,220.9,396.9,-176,-999,5
WA_125W_47N,47.351,-124.698,6/29/2017,18:17,214,2,3.4,398,2,3.17,1022.9,15.1,115.19,14.28,31.156,214.7,399.3,212.6,395.4,-182.8,213.4,396.8,-183.4,-999,5
WA_125W_47N,47.351,-124.698,6/29/2017,21:17,258,2,3.85,397.8,2,3.6,1022.2,17.3,113.27,15.066,31.288,259,399.2,256,394.7,-138.6,257,396.1,-139.1,-999,5
WA_125W_47N,47.351,-124.698,6/30/2017,0:17,258.1,2,3.83,399.3,2,3.59,1021.6,17.3,111.84,14.881,31.243,259.1,400.7,256.1,396,-139.9,257,397.4,-140.4,-999,5
WA_125W_47N,47.351,-124.698,6/30/2017,3:17,259.8,2,3.59,398.9,2,3.4,1020.9,16.1,110.29,15.151,31.208,260.8,400.2,257.5,395.2,-137.7,258.4,396.6,-138.2,-999,5
WA_125W_47N,47.351,-124.698,6/30/2017,6:17,270.4,2,3.37,398.9,2,3.21,1020.6,15.4,109.01,14.689,31.327,271.3,400.2,267.9,395.2,-127.3,268.9,396.6,-127.7,-999,5
WA_125W_47N,47.351,-124.698,6/30/2017,9:17,200.2,2,3.18,398.8,2,3.03,1020,14.8,110.95,13.645,31.339,200.8,400,198.4,395.1,-196.7,199.1,396.6,-197.4,-999,5
WA_125W_47N,47.351,-124.698,6/30/2017,12:17,206.5,2,3.14,399,2,2.98,1019.5,14.3,112.58,13.344,31.358,207.2,400.2,204.6,395.2,-190.6,205.4,396.7,-191.3,-999,5
WA_125W_47N,47.351,-124.698,6/30/2017,15:17,206.2,2,3.16,398.9,2,3,1019.9,14.2,113.64,13.479,31.337,206.8,400.1,204.3,395.3,-191,205.1,396.8,-191.7,-999,5
WA_125W_47N,47.351,-124.698,6/30/2017,18:17,204.7,2,3.28,398.9,2,3.11,1019.7,14.5,114.22,13.656,31.305,205.4,400.1,202.8,395.1,-192.3,203.6,396.6,-193,-999,5
WA_125W_47N,47.351,-124.698,6/30/2017,21:17,210.1,2,3.45,399,2,3.26,1019.3,15.1,114.08,14.068,31.266,210.8,400.3,208,395,-187,208.8,396.5,-187.7,-999,5
WA_125W_47N,47.351,-124.698,7/1/2017,0:17,218.9,2,3.39,399.7,2,3.22,1018.4,15.4,113.73,13.993,31.317,219.6,401,216.5,395.4,-178.9,217.3,396.9,-179.5,-999,5
WA_125W_47N,47.351,-124.698,7/1/2017,3:17,246.3,2,3.26,399.9,2,3.1,1018.1,15,112.46,13.693,31.488,247.1,401.2,243.7,395.5,-151.9,244.6,397,-152.4,-999,5
WA_125W_47N,47.351,-124.698,7/1/2017,6:17,213.9,2,3.17,399.9,2,3,1018.8,14.3,112.96,13.191,31.463,214.5,401.1,211.8,396,-184.2,212.6,397.4,-184.9,-999,5
WA_125W_47N,47.351,-124.698,7/1/2017,9:17,221.6,2,3.09,400.2,2,2.93,1019.2,14,112.77,13.454,31.419,222.3,401.4,219.5,396.2,-176.8,220.3,397.7,-177.4,-999,5
WA_125W_47N,47.351,-124.698,7/1/2017,12:17,250.4,2,3.05,400,2,2.89,1019.5,13.8,111.54,13.33,31.567,251.1,401.2,248.1,396.2,-148.2,249,397.7,-148.7,-999,5
WA_125W_47N,47.351,-124.698,7/1/2017,15:17,253.4,2,3.1,400,2,2.93,1019.9,13.8,110.43,13.456,31.552,254.1,401.2,251.1,396.3,-145.3,252,397.8,-145.8,-999,5
WA_125W_47N,47.351,-124.698,7/1/2017,18:17,262.1,2,3.26,399.5,2,3.06,1020.7,14.5,109.24,13.86,31.541,263,400.7,260,396,-136.1,260.9,397.5,-136.6,-999,5
WA_125W_47N,47.351,-124.698,7/1/2017,21:17,239.5,2,3.65,398.9,2,3.41,1021.1,16.3,109.74,12.506,31.765,240.4,400.2,238,396.2,-158.2,238.9,397.7,-158.8,-999,5
WA_125W_47N,47.351,-124.698,7/2/2017,0:17,247.8,2,4.09,398.7,2,3.78,1020.4,18.7,110.36,13.703,31.719,248.8,400.2,245.9,395.5,-149.6,246.8,397,-150.2,-999,5
WA_125W_47N,47.351,-124.698,7/2/2017,3:17,252.4,2,4.11,399.7,2,3.8,1019.6,19.2,109.61,14.157,31.533,253.4,401.3,250.1,396,-145.9,251.1,397.5,-146.4,-999,5
WA_125W_47N,47.351,-124.698,7/2/2017,6:17,269.7,2,3.81,399.6,2,3.54,1019.3,16.3,108.44,13.959,31.555,270.7,401,267.2,395.8,-128.6,268.2,397.2,-129,-999,5
WA_125W_47N,47.351,-124.698,7/2/2017,9:17,267.1,2,3.58,399.7,2,3.35,1019.3,15.1,107.58,14.051,31.612,268,401.1,264.5,395.8,-131.3,265.5,397.3,-131.8,-999,5
WA_125W_47N,47.351,-124.698,7/2/2017,12:17,250.8,2,3.44,399.7,2,3.24,1019.5,14.8,107.53,13.735,31.642,251.6,401,248.4,395.9,-147.5,249.4,397.4,-148,-999,5
WA_125W_47N,47.351,-124.698,7/2/2017,15:17,232.1,2,3.39,400,2,3.2,1019.8,14.8,108.44,13.246,31.682,232.9,401.3,230.2,396.5,-166.4,231,398,-167,-999,5
WA_125W_47N,47.351,-124.698,7/2/2017,18:17,240.3,2,3.97,398.7,2,3.72,1020.4,16.1,109.26,13.485,31.642,241.3,400.2,238.5,395.6,-157.1,239.4,397,-157.7,-999,5
WA_125W_47N,47.351,-124.698,7/2/2017,21:17,258,2,4.56,399,2,4.27,1021,20.9,109.4,13.956,31.576,259.2,400.8,256.2,396.2,-139.9,257.2,397.6,-140.5,-999,5
WA_125W_47N,47.351,-124.698,7/3/2017,0:17,233.7,2,4.24,399.6,2,4.01,1021,19.7,110.01,13.6,31.621,234.7,401.2,232.1,396.7,-164.6,232.9,398.2,-165.3,-999,5
WA_125W_47N,47.351,-124.698,7/3/2017,3:17,239.9,2,3.94,398.2,2,3.69,1021.1,16.4,110.41,13.451,31.713,240.8,399.7,238.2,395.3,-157.1,239.1,396.8,-157.7,-999,5
WA_125W_47N,47.351,-124.698,7/3/2017,6:17,254.1,2,3.45,398.8,2,3.26,1021.8,15,110.26,13.062,31.796,255,400.1,252.5,396.2,-143.7,253.5,397.7,-144.2,-999,5
